Date, Open, High, Low, Close
04/02/26, 2724.56, 2724.56, 2724.56, 2724.56
04/01/26, 2802.22, 2802.22, 2802.22, 2802.22
03/31/26, 2723.92, 2723.92, 2723.92, 2723.92
03/30/26, 2653.41, 2653.41, 2653.41, 2653.41
03/27/26, 2634.08, 2634.08, 2634.08, 2634.08
03/26/26, 2566.95, 2566.95, 2566.95, 2566.95
03/25/26, 2669.71, 2669.71, 2669.71, 2669.71
03/24/26, 2581.57, 2581.57, 2581.57, 2581.57
03/23/26, 2584.71, 2584.71, 2584.71, 2584.71
03/20/26, 2683.74, 2683.74, 2683.74, 2683.74
03/19/26, 2701.74, 2701.74, 2701.74, 2701.74
03/18/26, 2871.97, 2871.97, 2871.97, 2871.97
03/17/26, 2937.59, 2937.59, 2937.59, 2937.59
03/16/26, 2933.98, 2933.98, 2933.98, 2933.98
03/13/26, 2968.62, 2968.62, 2968.62, 2968.62
03/12/26, 3006.40, 3006.40, 3006.40, 3006.40
03/11/26, 3033.48, 3033.48, 3033.48, 3033.48
03/10/26, 3065.75, 3065.75, 3065.75, 3065.75
03/09/26, 2980.50, 2980.50, 2980.50, 2980.50
03/06/26, 3008.00, 3008.00, 3008.00, 3008.00
03/05/26, 2956.86, 2956.86, 2956.86, 2956.86
03/04/26, 2989.46, 2989.46, 2989.46, 2989.46
03/03/26, 2983.06, 2983.06, 2983.06, 2983.06
03/02/26, 3092.45, 3092.45, 3092.45, 3092.45
02/27/26, 3055.37, 3055.37, 3055.37, 3055.37
02/26/26, 3024.10, 3024.10, 3024.10, 3024.10
02/25/26, 3042.73, 3042.73, 3042.73, 3042.73
02/24/26, 3013.68, 3013.68, 3013.68, 3013.68
02/23/26, 3042.39, 3042.39, 3042.39, 3042.39
02/20/26, 2958.14, 2958.14, 2958.14, 2958.14
02/19/26, 2909.53, 2909.53, 2909.53, 2909.53
02/18/26, 2916.57, 2916.57, 2916.57, 2916.57
02/17/26, 2856.25, 2856.25, 2856.25, 2856.25
02/13/26, 2937.99, 2937.99, 2937.99, 2937.99
02/12/26, 2881.00, 2881.00, 2881.00, 2881.00
02/11/26, 2968.39, 2968.39, 2968.39, 2968.39
02/10/26, 2929.09, 2929.09, 2929.09, 2929.09
02/09/26, 2957.27, 2957.27, 2957.27, 2957.27
02/06/26, 2899.28, 2899.28, 2899.28, 2899.28
02/05/26, 2846.70, 2846.70, 2846.70, 2846.70
02/04/26, 2882.39, 2882.39, 2882.39, 2882.39
02/03/26, 2873.20, 2873.20, 2873.20, 2873.20
02/02/26, 2708.78, 2708.78, 2708.78, 2708.78
01/30/26, 2762.63, 2762.63, 2762.63, 2762.63
01/29/26, 3117.61, 3117.61, 3117.61, 3117.61
01/28/26, 3109.11, 3109.11, 3109.11, 3109.11
01/27/26, 2981.25, 2981.25, 2981.25, 2981.25
01/26/26, 2982.24, 2982.24, 2982.24, 2982.24
01/23/26, 2920.94, 2920.94, 2920.94, 2920.94
01/22/26, 2881.58, 2881.58, 2881.58, 2881.58
01/21/26, 2837.16, 2837.16, 2837.16, 2837.16
01/20/26, 2795.06, 2795.06, 2795.06, 2795.06
01/16/26, 2695.27, 2695.27, 2695.27, 2695.27
01/15/26, 2711.75, 2711.75, 2711.75, 2711.75
01/14/26, 2718.97, 2718.97, 2718.97, 2718.97
01/13/26, 2693.65, 2693.65, 2693.65, 2693.65
01/12/26, 2698.77, 2698.77, 2698.77, 2698.77
01/09/26, 2628.33, 2628.33, 2628.33, 2628.33
