Date,Open,High,Low,Close
04/06/2026,"72.720","73.735","71.335","72.847"
04/02/2026,"75.150","75.985","69.610","72.924"
04/01/2026,"75.480","76.265","74.000","76.078"
03/31/2026,"70.245","75.625","69.100","74.919"
03/30/2026,"69.350","72.025","67.700","70.569"
03/27/2026,"68.365","71.775","67.440","69.796"
03/26/2026,"71.505","72.385","66.705","67.934"
03/25/2026,"71.480","74.800","71.070","72.641"
03/24/2026,"69.370","71.495","66.115","69.569"
03/23/2026,"66.850","71.030","61.210","69.355"
03/20/2026,"72.830","74.620","67.740","69.664"
03/19/2026,"75.365","76.755","65.550","71.215"
03/18/2026,"79.390","80.320","75.015","77.592"
03/17/2026,"80.920","82.760","78.375","79.921"
03/16/2026,"80.295","81.820","77.125","80.682"
03/13/2026,"83.910","85.620","79.520","81.343"
03/12/2026,"86.065","87.695","83.120","85.112"
03/11/2026,"88.505","89.705","84.555","85.535"
03/10/2026,"87.275","90.385","86.805","89.592"
03/09/2026,"84.620","87.405","79.640","84.523"
03/06/2026,"82.555","85.335","81.785","84.311"
03/05/2026,"83.895","85.750","80.565","82.181"
03/04/2026,"82.400","87.070","81.740","83.184"
03/03/2026,"89.690","91.610","78.060","83.473"
03/02/2026,"96.000","97.300","86.725","88.853"
02/27/2026,"89.075","94.760","88.305","93.291"
02/26/2026,"89.560","90.990","85.545","87.584"
02/25/2026,"87.165","91.340","86.505","90.988"
02/24/2026,"88.040","88.750","84.605","87.506"
02/23/2026,"84.600","88.860","84.560","86.573"
02/20/2026,"78.475","84.645","77.285","82.343"
02/19/2026,"77.145","79.405","76.300","77.634"
02/18/2026,"73.580","78.320","72.250","77.598"
02/17/2026,"76.400","76.750","71.815","73.540"
02/13/2026,"75.175","79.265","73.745","77.964"
02/12/2026,"84.125","84.875","74.370","75.682"
02/11/2026,"80.500","86.120","80.415","83.920"
02/10/2026,"83.215","83.745","79.615","80.384"
02/09/2026,"78.100","83.760","78.100","82.234"
02/06/2026,"70.360","77.920","63.900","76.895"
02/05/2026,"87.645","89.830","70.175","76.714"
02/04/2026,"84.915","92.015","83.000","84.396"
02/03/2026,"79.220","89.100","79.010","83.301"
02/02/2026,"84.300","88.000","71.200","77.009"
01/30/2026,"115.885","118.450","74.000","78.531"
01/29/2026,"116.625","121.785","106.610","114.429"
01/28/2026,"112.440","117.600","110.400","113.534"
01/27/2026,"104.015","113.550","102.900","105.957"
01/26/2026,"104.600","117.700","101.700","115.504"
01/23/2026,"96.320","103.530","96.220","101.333"
01/22/2026,"92.790","96.735","90.680","96.372"
01/21/2026,"94.550","95.530","90.150","92.637"
01/20/2026,"94.355","95.780","92.415","94.636"
01/16/2026,"92.295","92.645","86.570","88.537"
01/15/2026,"93.400","93.755","86.125","92.347"
01/14/2026,"86.900","93.560","86.750","91.385"
01/13/2026,"85.360","89.215","83.315","86.338"
01/12/2026,"80.505","86.340","79.900","85.091"
01/09/2026,"76.675","80.465","75.150","79.341"
