Date,AMZN Price,APPL Price,Bitcoin Price,DOW Price,Ethereum Price,GOOGL Price,Solana Price,MSFT Price,S&P 500 Composite Price,NASDAQ Composite Price,S&P Gold Price,NVDA Price,TSLA Price,Oil Futures Price,XMAG Price,Silver Price,META Price,Magnificent Seven Average,Cryptocurrency Average
2016-12-31,,,963.599,,8.0,,,,,,,,,,,,,,
2017-01-01,,,997.777,,10.7321,,,,,,,,,,,,,,
2017-01-02,,,1021.79,,8.37,,,,,,,,,,,,,,
2017-01-03,37.6835,29.0375,1044.08,6917.33,292.463013,40.4005,,62.58,2257.83,5429.08,676.53,2.5503,14.466,55.05,,16.356000900268555,116.86,43.36825714285714,
2017-01-04,37.859,29.005,1153.54,6952.31,300.468994,40.3885,,62.3,2270.75,5477.0,678.45,2.6098,15.1327,54.57,,16.499000549316406,118.69,43.71214285714286,
2017-01-05,39.0225,29.1525,1010.62,6931.03,94.398499,40.651,,62.3,2269.0,5487.94,687.76,2.5435,15.1167,54.99,,16.583999633789062,120.67,44.208028571428564,
2017-01-06,39.7995,29.4775,902.201,6957.8,264.466003,41.2605,,62.84,2276.98,5521.06,683.16,2.5775,15.2673,55.9,,16.465999603271484,123.41,44.947471428571426,
2017-01-07,,,908.572,,42.162601,,,,,,,,,,,,,,
2017-01-08,,,909.923,,296.769012,,,,,,,,,,,,,,
2017-01-09,39.846,29.7475,903.303,6911.27,43.266998,41.359,,62.64,2268.9,5531.82,690.21,2.682,15.4187,54.39,,16.62999916,124.9,45.2276,
2017-01-10,39.795,29.7775,907.59,6917.4,441.721008,41.3005,,62.62,2268.9,5551.82,690.91,2.6618,15.3247,53.2,,16.80299949645996,124.35,45.118500000000004,
2017-01-11,39.951,29.9375,778.886,6966.32,9.71776,41.493,,63.19,2275.32,5563.65,697.75,2.629,15.3153,53.61,,16.783000946044922,126.09,45.51511428571428,
2017-01-12,40.682,29.8125,805.331,6946.14,88.655403,41.4765,,62.61,2270.44,5547.49,699.98,2.586,15.306,54.51,,16.780000686645508,126.62,45.58471428571429,
2017-01-13,40.857,29.76,822.841,6956.05,338.756989,41.547,,62.7,2274.64,5574.12,698.13,2.5858,15.85,54.37,,16.719999313354492,128.34,45.94854285714286,
2017-01-14,,,818.72,,9.64666,,,,,,,,,,,,,,
2017-01-15,,,821.828,,289.817993,,,,,,,,,,,,,,
2017-01-16,,,831.325,,12.9037,,,,,,,,,54.3,,,,,
