Date,AMZN Price,APPL Price,Bitcoin Price,Dow Jones Composite Price,Ethereum Price,META Price,Solana Price,MSFT Price,S&P 500 Composite Price,NASDAQ Composite Price,S&P Gold Price,NVDA Price,TSLA Price,Oil Futures Price,XMAG Price,Silver Price
2020-08-11,154.0335,109.375,11395.405816094,27686.91,379.01,256.13,3.2985,203.38,3333.69,10782.82,1133.15,10.85,91.626,43.68,,26.03700065612793
2020-08-12,158.112,113.01,11576.814266862,27976.84,387.12,259.89,3.7558,209.19,3380.35,11012.24,1134.72,11.4403,103.6507,45.09,,25.954999923706055
2020-08-13,158.051,115.01,11763.009141034,27896.72,424.31,261.3,3.73,208.7,3373.43,11042.5,1147.18,11.443,108.0667,44.87,,27.694000244140625
2020-08-14,157.401,114.9075,11742.876373856,27931.02,438.11,261.24,3.4099,208.9,3372.85,11019.3,1135.19,11.564,110.0474,44.86,,26.065000534057617
2020-08-15,,,11865.383052744,,432.32,,3.173,,,,,,,,,
2020-08-16,,,11892.68092121,,433.62,,3.3885,,,,,,,,,
2020-08-17,159.1205,114.6075,12285.936628884,27844.91,429.52,261.16,3.11,210.28,3381.99,11129.73,1163.66,12.337,122.3761,44.91,,27.64299964904785
2020-08-18,165.6245,115.5625,11961.994599784,27778.07,422.16,262.34,3.3407,211.49,3389.78,11210.84,1172.04,12.2608,125.8061,45.34,,28.048999786376953
2020-08-19,163.024,115.7075,11732.405565665,27692.88,407.44,262.59,2.8868,209.7,3374.85,11146.46,1147.12,12.1385,125.2354,45.21,,27.315000534057617
2020-08-20,164.8685,118.275,11866.595191214,27739.73,414.28,269.01,3.2038,214.58,3385.51,11264.95,1133.27,12.141,133.4554,44.56,,27.121999740600582
2020-08-21,164.236,124.37,11530.919234185,27930.33,384.91,267.01,2.9317,213.02,3397.16,11311.8,1133.56,12.6835,136.6654,43.94,,26.707000732421875
2020-08-22,,,11681.15792601,,395.24,,3.0126,,,,,,,,,
2020-08-23,,,11653.407286706,,392.81,,3.25,,,,,,,,,
2020-08-24,165.373,125.8575,11763.761713068,28308.46,407.7,271.39,3.3405,213.69,3431.28,11379.72,1129.02,12.7203,134.2801,44.43,,26.58799934387207
2020-08-25,167.3245,124.825,11361.554816122,28248.44,383.2,280.82,3.25,216.47,3443.62,11466.47,1119.64,12.75,134.8894,46.01,,26.253999710083008
2020-08-26,172.0925,126.5225,11463.567970252,28331.92,385.96,303.91,3.5684,221.15,3478.73,11665.06,1136.76,12.773,143.5447,45.79,,27.43000030517578
2020-08-27,170.0,125.01,11311.240202114,28492.27,383.27,293.22,3.4501,226.58,3484.55,11625.34,1125.17,12.6283,149.2501,44.84,,27.010000228881836
2020-08-28,170.09,124.8075,11496.830217387,28653.87,395.11,293.66,4.0063,228.91,3508.01,11695.63,1149.8,13.1478,147.5601,45.22,,27.61000061035156
2020-08-29,,,11485.101567395,,398.8,,3.9535,,,,,,,,,
2020-08-30,,,11697.794368445,,425.51,,4.4309,,,,,,,,,
2020-08-31,172.548,129.04,11655.998698678,28430.05,433.79,293.2,4.7435,225.53,3500.31,11775.46,1151.96,13.3745,166.1067,,,28.437000274658203
2020-09-01,174.956,134.18,11921.754916292,28645.66,475.4,295.44,4.3397,227.27,3526.65,11939.67,1152.13,13.821,158.35,45.72,,28.486000061035156
2020-09-02,176.5725,131.4,11399.148968018,29100.5,439.08,302.5,4.17,231.65,3580.84,12056.44,1132.22,14.3465,149.1233,42.7,,27.249000549316406
2020-09-03,168.4,120.88,10215.669958645,28292.73,381.4,291.12,3.5051,217.3,3455.06,11458.1,1128.2,13.0155,135.6667,42.72,,26.73500061035156
2020-09-04,164.731,120.96,10473.519453043,28133.31,388.18,282.73,3.5301,214.25,3426.96,11313.13,1126.16,12.6225,139.44,41.1,,26.576000213623047
2020-09-05,,,10129.786654306,,334.91,,2.6052,,,,,,,,,
2020-09-06,,,10257.229742702,,353.49,,3.0941,,,,,,,,,
2020-09-07,,,10356.444382971,,352.06,,2.9237,,,,,,,40.67,,
2020-09-08,157.492,112.82,10112.206366256,27500.89,337.39,271.16,2.468,202.66,3331.84,10847.69,1131.35,11.913,110.07,38.53,,26.86400032043457
2020-09-09,163.4305,117.32,10214.15437465,27940.47,351.1,273.72,3.6001,211.29,3398.96,11141.56,1138.16,12.715,122.0933,39.98,,26.954999923706055
2020-09-10,158.7555,113.49,10334.638647185,27534.58,358.29,268.09,3.4761,205.37,3339.19,10919.59,1143.63,12.3118,123.78,39.27,,27.163000106811523
2020-09-11,155.811,112.0,10374.778150971,27665.64,373.72,266.61,3.3965,204.03,3340.97,10853.55,1134.08,12.1645,124.24,38.8,,26.73900032043457
2020-09-12,,,10438.37739278,,388.62,,3.3316,,,,,,,,,
2020-09-13,,,10315.666411066,,366.36,,3.2603,,,,,,,,,
2020-09-14,155.1485,115.355,10665.113719053,27993.33,376.13,266.15,3.2641,205.41,3383.54,11056.65,1143.28,12.8723,139.8733,38.57,,27.229000091552734
2020-09-15,157.8065,115.54,10782.99980322,27995.6,358.9,272.42,2.9295,208.78,3401.2,11190.32,1144.74,12.991,149.92,39.54,,27.34600067138672
2020-09-16,153.905,112.13,10946.921228692,28032.38,378.77,263.52,2.5327,205.05,3385.49,11050.47,1147.24,12.5145,147.2533,41.23,,27.354999542236328
2020-09-17,150.4365,110.34,10934.419674311,27901.98,388.97,254.82,2.8829,202.91,3357.01,10910.28,1135.25,12.4635,141.1433,42.35,,26.98500061035156
2020-09-18,147.7455,106.84,10916.970917053,27657.42,384.2,252.53,3.1144,200.39,3319.47,10793.28,1142.35,12.1893,147.3833,42.16,,27.027999877929688
2020-09-19,,,11076.850892878,,381.83,,3.031,,,,,,,,,
2020-09-20,,,10914.687407947,,374.19,,2.8628,,,,,,,,,
2020-09-21,148.0235,110.08,10427.87773384,27147.7,341.3,248.15,2.7672,202.54,3281.06,10778.8,1112.37,12.5173,149.7967,40.37,,24.298999786376953
2020-09-22,156.4495,111.81,10531.351535286,27288.18,341.82,254.75,2.9082,207.42,3315.57,10963.64,1110.62,12.6378,141.41,40.84,,24.441999435424805
2020-09-23,149.993,107.12,10231.051311501,26763.13,319.95,249.02,2.8548,200.59,3236.92,10632.99,1087.8,12.1238,126.7867,41.09,,23.013999938964844
2020-09-24,150.9895,108.22,10731.532396808,26815.44,348.97,249.53,3.1433,203.19,3246.59,10672.27,1092.75,12.348,129.2633,41.24,,23.118000030517575
2020-09-25,154.7565,112.28,10683.395234217,27173.96,351.63,254.82,3.1937,207.82,3298.46,10913.56,1086.58,12.8738,135.78,40.91,,23.017000198364254
2020-09-26,,,10739.742577529,,354.25,,3.1287,,,,,,,,,
2020-09-27,,,10766.522449088,,357.49,,3.1578,,,,,,,,,
2020-09-28,158.7025,114.96,10702.472833045,27584.06,353.96,256.82,2.9599,209.44,3351.6,11117.52,1095.89,13.035,140.4,41.59,,23.527999877929688
2020-09-29,157.244,114.09,10839.962683468,27452.66,359.86,261.79,2.9505,207.26,3335.47,11085.25,1108.06,13.2258,139.69,40.33,,24.37999916
2020-09-30,157.4365,115.81,10766.814094563,27781.7,359.83,261.9,2.8967,210.33,3363.0,11167.51,1103.58,13.5305,143.0033,40.3,,23.433000564575195
2020-10-01,161.063,116.79,10614.303326871,27816.9,353.07,266.63,2.8669,212.46,3380.8,11326.51,1115.68,13.6145,149.3867,39.75,,24.19300079345703
2020-10-02,156.25,113.02,10566.494383933,27682.81,348.24,259.94,2.6232,206.19,3348.44,11075.02,1110.62,13.0623,138.3633,38.0,,23.97100067138672
2020-10-03,,,10541.32189207,,345.95,,2.5439,,,,,,,,,
2020-10-04,,,10665.698551049,,351.76,,2.5202,,,,,,,,,
2020-10-05,159.96,116.5,10784.67081854,28148.64,353.76,264.65,2.6522,210.38,3408.63,11332.49,1117.9,13.6425,141.8933,39.78,,24.50200080871582
2020-10-06,154.998,113.16,10604.446854355,27772.76,340.75,258.66,2.174,205.91,3360.95,11154.6,1111.32,13.7365,137.9933,41.27,,23.87000084
2020-10-07,159.7845,115.08,10665.252260679,28303.46,339.24,258.12,2.3005,209.83,3419.45,11364.6,1100.84,13.964,141.7667,40.62,,23.847999572753903
2020-10-08,159.5275,114.97,10898.551843619,28425.51,350.34,263.76,2.3638,210.58,3446.83,11420.98,1103.34,13.8387,141.9733,42.0,,23.836999893188477
2020-10-09,164.3325,116.97,11066.190869882,28586.9,376.76,264.45,2.5314,215.81,3477.13,11579.94,1121.45,13.7628,144.6667,41.63,,25.069000244140625
2020-10-10,,,11294.994190302,,370.52,,2.3999,,,,,,,,,
2020-10-11,,,11376.435109896,,374.08,,2.4227,,,,,,,,,
2020-10-12,172.1465,124.4,11544.137639625,28837.52,386.68,275.75,2.5836,221.4,3534.22,11876.26,1123.02,14.226,147.4333,40.5,,25.22599983215332
2020-10-13,172.1815,121.1,11423.480015091,28679.81,381.04,276.14,2.4062,222.86,3511.93,11863.9,1103.05,14.2482,148.8833,41.34,,24.086000442504883
2020-10-14,168.1855,121.19,11426.367479344,28514.0,378.69,271.82,2.3107,220.86,3488.67,11768.73,1110.44,14.0953,153.7667,41.81,,24.36400032043457
2020-10-15,166.9325,120.71,11492.615897338,28494.2,377.64,266.72,2.2682,219.66,3483.34,11713.87,1111.38,13.97,149.6267,41.61,,24.19300079345703
2020-10-16,163.6355,119.02,11312.662784187,28606.31,365.17,265.93,2.1398,219.66,3483.81,11671.56,1109.92,13.8115,146.5567,41.34,,24.368999481201172
2020-10-17,,,11368.484736962,,368.32,,2.2053,,,,,,,,,
2020-10-18,,,11490.015808249,,373.64,,2.215,,,,,,,,,
2020-10-19,160.3605,115.98,11748.376783365,28195.42,379.95,261.4,2.0592,214.22,3426.92,11478.88,1113.01,13.4978,143.61,41.29,,24.656999588012695
2020-10-20,160.8505,117.51,11910.242112809,28308.79,368.52,267.56,1.885,214.65,3443.12,11516.49,1115.16,13.6455,140.6467,41.62,,24.937000274658203
2020-10-21,159.247,116.87,12808.795951863,28210.82,390.38,278.73,1.8887,214.8,3435.56,11484.69,1123.37,13.5248,140.88,40.09,,25.19700050354004
2020-10-22,158.82,115.75,12958.537189204,28363.66,413.28,278.12,1.9582,214.89,3453.49,11506.01,1108.87,13.361,141.93,41.28,,24.665000915527344
2020-10-23,160.22,115.04,12929.022175701,28335.57,408.52,284.79,1.959,216.23,3465.39,11548.28,1109.22,13.5903,140.21,40.71,,24.62700080871582
2020-10-24,,,13117.174729466,,411.92,,1.9142,,,,,,,,,
2020-10-25,,,13020.811715896,,408.61,,1.7926,,,,,,,,,
2020-10-26,160.352,115.05,13065.536025938,27685.38,394.11,277.11,1.6799,210.08,3400.97,11358.94,1109.51,13.1412,140.0933,39.06,,24.375999450683594
2020-10-27,164.3165,116.6,13651.54050526,27463.19,406.19,283.29,1.711,213.25,3390.68,11431.35,1113.12,13.3968,141.56,39.72,,24.525999069213867
2020-10-28,158.139,111.2,13275.481261315,26519.95,390.06,267.67,1.518,202.68,3271.03,11004.87,1094.09,12.627,135.34,37.86,,23.323999404907227
