Date,AMZN Price,APPL Price,Bitcoin Price,Dow Jones Composite Price,Ethereum Price,META Price,Solana Price,MSFT Price,S&P 500 Composite Price,NASDAQ Composite Price,S&P Gold Price,NVDA Price,TSLA Price,Oil Futures Price,XMAG Price,Silver Price
2024-10-22,189.7,235.86,67342.3,42924.89,2624.24,582.01,167.359,427.51,5851.2,18573.13,1606.78,143.59,217.97,75.59,20.0,34.83100128173828
2024-10-23,184.71,230.76,67266.7,42514.95,2548.98,563.69,174.952,424.6,5797.42,18276.65,1589.08,139.56,213.65,74.68,19.8758,33.63999938964844
2024-10-24,186.38,230.57,68017.3,42374.36,2524.05,567.78,174.586,424.73,5809.86,18415.49,1600.43,140.41,260.48,74.27,19.83,33.611000061035156
2024-10-25,187.83,231.41,66884.2,42114.4,2453.46,573.25,165.414,428.15,5808.12,18518.61,1603.75,141.54,269.19,75.62,19.77,33.60300064086914
2024-10-26,,,67032.2,,2475.56,,172.657,,,,,,,,,
2024-10-27,,,67706.1,,2473.56,,175.201,,,,,,,,,
2024-10-28,188.39,233.4,70943.7,42387.57,2608.35,578.16,181.385,426.59,5823.52,18567.19,1604.51,140.52,262.51,71.87,19.84,33.83000183105469
2024-10-29,190.83,233.67,72233.8,42233.05,2644.96,593.28,180.245,431.95,5832.92,18712.75,1619.18,141.25,259.52,71.09,19.81,34.26900100708008
2024-10-30,192.73,230.1,72354.7,42141.54,2659.77,591.8,174.403,432.53,5813.67,18607.93,1630.65,139.335,257.55,73.21,19.73,33.91400146484375
2024-10-31,186.4,225.91,69369.8,41763.46,2501.41,567.58,167.042,406.35,5705.45,18095.15,1600.66,132.76,249.85,73.25,19.54,32.65299987792969
2024-11-01,197.93,222.91,69671.2,42052.19,2510.64,567.16,166.985,410.37,5728.8,18239.92,1600.61,135.4,248.98,73.63,19.5494,32.54199981689453
2024-11-02,,,68423.0,,2447.0,,162.039,,,,,,,,,
2024-11-03,,,69121.0,,2473.46,,162.99,,,,,,,,,
2024-11-04,195.78,222.01,68346.0,41794.6,2429.97,560.68,160.175,408.46,5712.69,18179.98,1598.86,136.05,242.84,74.89,19.53,32.47999954223633
