Date,Close/Last,Volume,Open,High,Low
04/10/2026,22.9731,39999,23.16,23.2199,22.94
04/09/2026,23.125,47840,23.05,23.18,22.95
04/08/2026,23.0421,31146,22.99,23.13,22.9001
04/07/2026,22.50,19290,22.49,22.52,22.33
04/06/2026,22.5047,60402,22.43,22.5799,22.37
04/02/2026,22.3972,26559,22.04,22.4399,22.04
04/01/2026,22.31,35246,22.25,22.4899,22.25
03/31/2026,22.217,245674,21.85,22.217,21.85
03/30/2026,21.66,47122,21.93,21.93,21.62
03/27/2026,21.8269,153279,22.04,22.0699,21.74
03/26/2026,22.1219,39636,22.26,22.43,22.05
03/25/2026,22.4004,85290,22.45,22.50,22.32
03/24/2026,22.3058,28850,22.10,22.46,22.10
03/23/2026,22.28,75840,22.29,22.6199,22.22
03/20/2026,22.0534,122637,22.24,22.25,21.86
03/19/2026,22.23,62849,22.09,22.4199,22.04
03/18/2026,22.3399,27476,22.58,22.58,22.3399
03/17/2026,22.645,26138,22.59,22.75,22.57
03/16/2026,22.565,28760,22.54,22.6499,22.48
03/13/2026,22.37,19152,22.41,22.5817,22.30
03/12/2026,22.4068,81243,22.48,22.64,22.4068
03/11/2026,22.705,20331,22.77,22.8222,22.55
03/10/2026,22.7954,64105,22.86,23.00,22.7401
03/09/2026,22.8735,86294,22.51,22.93,22.35
03/06/2026,22.7412,100792,22.77,22.835,22.61
03/05/2026,23.0103,86621,23.11,23.18,22.835
03/04/2026,23.2055,71513,23.17,23.24,22.995
03/03/2026,23.0552,112027,23.01,23.1644,22.69
03/02/2026,23.34,103388,23.15,23.38,23.12
02/27/2026,23.3638,43376,23.16,23.3799,23.155
02/26/2026,23.3232,46335,23.33,23.35,23.1501
02/25/2026,23.31,28914,23.25,23.3241,23.2001
02/24/2026,23.1777,64510,23.06,23.21,22.991
02/23/2026,23.07,127557,23.24,23.29,22.97
02/20/2026,23.33,45026,23.18,23.35,23.15
02/19/2026,23.2236,49358,23.28,23.3097,23.09
02/18/2026,23.32,74828,23.29,23.40,23.21
02/17/2026,23.1828,71008,23.13,23.28,23.01
02/13/2026,23.195,80856,23.01,23.3199,23.01
02/12/2026,23.05,55255,23.45,23.48,23.01
02/11/2026,23.34,56681,23.42,23.42,23.1901
02/10/2026,23.2454,62550,23.36,23.41,23.23
02/09/2026,23.335,92353,23.38,23.40,23.1683
02/06/2026,23.28,101214,22.87,23.31,22.87
02/05/2026,22.695,127922,22.87,22.9307,22.66
02/04/2026,22.9257,84979,23.01,23.01,22.78
02/03/2026,22.99,99087,23.15,23.20,22.7947
02/02/2026,23.075,71737,22.94,23.12,22.93
01/30/2026,22.9249,79193,22.92,23.01,22.75
01/29/2026,23.0094,53242,23.10,23.1038,22.8102
01/28/2026,23.00,55722,23.00,23.0965,22.96
01/27/2026,23.02,78914,23.02,23.03,22.95
01/26/2026,23.00,69521,22.95,23.02,22.94
01/23/2026,22.89,85203,22.97,22.97,22.82
01/22/2026,23.02,124461,23.19,23.19,22.94
01/21/2026,22.98,103455,22.81,23.07,22.77
01/20/2026,22.7131,139388,22.83,22.935,22.685
01/16/2026,23.07,114071,23.11,23.13,23.01
01/15/2026,23.06,165276,23.13,23.17,23.05
01/14/2026,22.9759,72957,23.03,23.03,22.85
01/13/2026,23.0313,68795,23.13,23.13,22.98
01/12/2026,23.03,109852,22.96,23.0799,22.8801
01/09/2026,23.03,180423,22.97,23.06,22.90
01/08/2026,22.86,95828,22.87,22.9292,22.81
01/07/2026,22.87,126296,23.03,23.03,22.8595
01/06/2026,23.02,84048,22.79,23.03,22.76
01/05/2026,22.78,101315,22.75,22.8999,22.675
01/02/2026,22.59,84186,22.60,22.60,22.432
12/31/2025,22.57,135596,22.75,22.75,22.50
